trial_id,loss,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/lr_g,config/lr_d,config/batch_size,config/hidden_dim,config/embedding_dim,config/num_layers,config/dropout_prob,config/num_heads,config/bidirectional,config/n_disc_steps,config/clip_value,config/optimizer,config/n_epochs
61475_00028,0.6931397914886475,1724169639,,True,5,2024-08-20_12-00-39,55.23849630355835,277.63338589668274,561482,WUSSYRD230001,172.27.161.222,277.63338589668274,5,"28_batch_size=64,bidirectional=False,clip_value=0.0024,dropout_prob=0.2500,embedding_dim=32,hidden_dim=64,lr_d=0.0000,lr_g=0.0004,n_disc_steps=3,num_heads=8,num_layers=3",0.0003654066693888161,2.9031189168242628e-05,64,64,32,3,0.25,8,False,3,0.0024478640825381956,rmsprop,25
61475_00029,0.6931472420692444,1724169545,,True,5,2024-08-20_11-59-05,17.564717292785645,92.60038900375366,562362,WUSSYRD230001,172.27.161.222,92.60038900375366,5,"29_batch_size=128,bidirectional=False,clip_value=0.0028,dropout_prob=0.2500,embedding_dim=32,hidden_dim=32,lr_d=0.0005,lr_g=0.0001,n_disc_steps=1,num_heads=4,num_layers=3",7.039109395452009e-05,0.0004764543158886007,128,32,32,3,0.25,4,False,1,0.002831730077935109,rmsprop,25
61475_00030,0.6932204365730286,1724170395,,True,10,2024-08-20_12-13-15,83.59443998336792,845.7532224655151,563443,WUSSYRD230001,172.27.161.222,845.7532224655151,10,"30_batch_size=64,bidirectional=True,clip_value=0.0021,dropout_prob=0.5000,embedding_dim=16,hidden_dim=64,lr_d=0.0004,lr_g=0.0007,n_disc_steps=5,num_heads=4,num_layers=3",0.0006738069412445854,0.00036779598003038256,64,64,16,3,0.5,4,True,5,0.0021437736887952434,rmsprop,25
61475_00031,0.6959196329116821,1724169946,,True,5,2024-08-20_12-05-46,59.73784589767456,302.96328830718994,564372,WUSSYRD230001,172.27.161.222,302.96328830718994,5,"31_batch_size=128,bidirectional=False,clip_value=0.0060,dropout_prob=0.2500,embedding_dim=16,hidden_dim=32,lr_d=0.0125,lr_g=0.0007,n_disc_steps=5,num_heads=2,num_layers=2",0.0006676417956778657,0.01251271253607255,128,32,16,2,0.25,2,False,5,0.005968947728166374,rmsprop,25
61475_00032,0.6931325793266296,1724171927,,True,25,2024-08-20_12-38-47,77.95503830909729,1977.9792306423187,566749,WUSSYRD230001,172.27.161.222,1977.9792306423187,25,"32_batch_size=32,bidirectional=False,clip_value=0.0060,dropout_prob=0.2500,embedding_dim=32,hidden_dim=128,lr_d=0.0001,lr_g=0.0000,n_disc_steps=3,num_heads=2,num_layers=3",2.6101538428130612e-05,6.133990905151918e-05,32,128,32,3,0.25,2,False,3,0.00599040637968796,rmsprop,25
61475_00033,0.6931517720222473,1724171676,,True,25,2024-08-20_12-34-36,49.91751551628113,1277.7748980522156,570139,WUSSYRD230001,172.27.161.222,1277.7748980522156,25,"33_batch_size=128,bidirectional=False,clip_value=0.0055,dropout_prob=0.5000,embedding_dim=64,hidden_dim=128,lr_d=0.0018,lr_g=0.0006,n_disc_steps=3,num_heads=2,num_layers=3",0.0005897208456476214,0.0018431904491301163,128,128,64,3,0.5,2,False,3,0.005473156156030472,rmsprop,25
61475_00034,0.7707744240760803,1724171958,,True,5,2024-08-20_12-39-18,55.576066970825195,278.96252965927124,579394,WUSSYRD230001,172.27.161.222,278.96252965927124,5,"34_batch_size=128,bidirectional=True,clip_value=0.0081,dropout_prob=0.5000,embedding_dim=32,hidden_dim=128,lr_d=0.0134,lr_g=0.0041,n_disc_steps=3,num_heads=4,num_layers=2",0.004086800025392213,0.013448070902660135,128,128,32,2,0.5,4,True,3,0.008101987508250374,rmsprop,25
61475_00035,0.6931430101394653,1724172162,,True,5,2024-08-20_12-42-42,44.8208122253418,231.54493021965027,581327,WUSSYRD230001,172.27.161.222,231.54493021965027,5,"35_batch_size=32,bidirectional=True,clip_value=0.0026,dropout_prob=0.2500,embedding_dim=32,hidden_dim=128,lr_d=0.0000,lr_g=0.0001,n_disc_steps=1,num_heads=2,num_layers=3",8.744665505764921e-05,2.553783550346812e-05,32,128,32,3,0.25,2,True,1,0.002645434827771374,rmsprop,25
61475_00036,0.693147599697113,1724172068,,True,5,2024-08-20_12-41-08,20.303898572921753,106.98216724395752,581806,WUSSYRD230001,172.27.161.222,106.98216724395752,5,"36_batch_size=128,bidirectional=True,clip_value=0.0029,dropout_prob=0.5000,embedding_dim=32,hidden_dim=64,lr_d=0.0006,lr_g=0.0001,n_disc_steps=1,num_heads=2,num_layers=3",8.154899920526264e-05,0.0005640748520781041,128,64,32,3,0.5,2,True,1,0.0029239351017144185,rmsprop,25
61475_00037,0.6931348443031311,1724173110,,True,25,2024-08-20_12-58-30,41.236438274383545,1038.7795746326447,582935,WUSSYRD230001,172.27.161.222,1038.7795746326447,25,"37_batch_size=128,bidirectional=True,clip_value=0.0027,dropout_prob=0.5000,embedding_dim=64,hidden_dim=32,lr_d=0.0001,lr_g=0.0006,n_disc_steps=3,num_heads=2,num_layers=3",0.0006281028982907385,5.167235461638923e-05,128,32,64,3,0.5,2,True,3,0.0026513918064662054,rmsprop,25
