trial_id,loss,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/lr_g,config/lr_d,config/batch_size,config/hidden_dim,config/optimizer,config/n_disc_steps,config/clip_value
49042_00035,0.6931471824645996,1723781528,,True,1,2024-08-16_00-12-08,200.83684873580933,200.83684873580933,159002,WUSSYRD230001,172.27.161.222,200.83684873580933,1,"35_batch_size=32,clip_value=0.0052,hidden_dim=64,lr_d=0.0013,lr_g=0.0075,n_disc_steps=3,optimizer=rmsprop",0.007511978858374407,0.0013141726245471089,32,64,rmsprop,3,0.005183044592716261
49042_00036,0.6935474872589111,1723781811,,True,1,2024-08-16_00-16-51,280.6305055618286,280.6305055618286,160895,WUSSYRD230001,172.27.161.222,280.6305055618286,1,"36_batch_size=32,clip_value=0.0015,hidden_dim=32,lr_d=0.0017,lr_g=0.0006,n_disc_steps=5,optimizer=rmsprop",0.0006076022722642996,0.001654932536993675,32,32,rmsprop,5,0.0015458682847922548
49042_00037,0.6931472420692444,1723781710,,True,1,2024-08-16_00-15-10,172.72002482414246,172.72002482414246,161259,WUSSYRD230001,172.27.161.222,172.72002482414246,1,"37_batch_size=256,clip_value=0.0024,hidden_dim=16,lr_d=0.0008,lr_g=0.0001,n_disc_steps=5,optimizer=adam",6.418540503812123e-05,0.0007859706535006786,256,16,adam,5,0.0023729273219186588
49042_00038,0.6926941275596619,1723781906,,True,1,2024-08-16_00-18-26,191.93609833717346,191.93609833717346,162969,WUSSYRD230001,172.27.161.222,191.93609833717346,1,"38_batch_size=32,clip_value=0.0020,hidden_dim=16,lr_d=0.0022,lr_g=0.0112,n_disc_steps=3,optimizer=rmsprop",0.01118005913519779,0.002196321188512045,32,16,rmsprop,3,0.002027083320759
49042_00039,0.6931470632553101,1723782098,,True,1,2024-08-16_00-21-38,283.5283763408661,283.5283763408661,164090,WUSSYRD230001,172.27.161.222,283.5283763408661,1,"39_batch_size=384,clip_value=0.0032,hidden_dim=32,lr_d=0.0001,lr_g=0.0080,n_disc_steps=5,optimizer=adam",0.007954491693670246,6.114430251054241e-05,384,32,adam,5,0.003227694984983961
49042_00040,0.6930760145187378,1723782131,,True,1,2024-08-16_00-22-11,222.2100489139557,222.2100489139557,165027,WUSSYRD230001,172.27.161.222,222.2100489139557,1,"40_batch_size=32,clip_value=0.0079,hidden_dim=64,lr_d=0.0003,lr_g=0.0033,n_disc_steps=3,optimizer=rmsprop",0.003304688390103933,0.00026493248421158836,32,64,rmsprop,3,0.007860043255150674
49042_00041,0.6912172436714172,1723782302,,True,1,2024-08-16_00-25-02,200.14282250404358,200.14282250404358,166609,WUSSYRD230001,172.27.161.222,200.14282250404358,1,"41_batch_size=32,clip_value=0.0038,hidden_dim=64,lr_d=0.0190,lr_g=0.0003,n_disc_steps=3,optimizer=adam",0.0002920606635919472,0.018968887623288633,32,64,adam,3,0.0038105038924782847
49042_00042,0.6933917999267578,1723782411,,True,1,2024-08-16_00-26-51,277.0925815105438,277.0925815105438,167175,WUSSYRD230001,172.27.161.222,277.0925815105438,1,"42_batch_size=32,clip_value=0.0042,hidden_dim=16,lr_d=0.0026,lr_g=0.0130,n_disc_steps=5,optimizer=rmsprop",0.012951991698361755,0.0026347080355268236,32,16,rmsprop,5,0.004188665196176832
49042_00043,0.6949892640113831,1723782371,,True,1,2024-08-16_00-26-11,65.96741151809692,65.96741151809692,168844,WUSSYRD230001,172.27.161.222,65.96741151809692,1,"43_batch_size=256,clip_value=0.0036,hidden_dim=128,lr_d=0.0168,lr_g=0.0060,n_disc_steps=1,optimizer=rmsprop",0.005994229400173486,0.01682935265846249,256,128,rmsprop,1,0.003590484685565539
49042_00044,0.6931472420692444,1723782721,,True,1,2024-08-16_00-32-01,347.23580050468445,347.23580050468445,169683,WUSSYRD230001,172.27.161.222,347.23580050468445,1,"44_batch_size=64,clip_value=0.0010,hidden_dim=128,lr_d=0.0001,lr_g=0.0001,n_disc_steps=5,optimizer=adam",0.000112274756897301,7.064648216123165e-05,64,128,adam,5,0.0010400802299920461
